1,1,That Conference,2023-07-25,2023-01-20,https://that.us/events/wi/2023/                                                                                                                                                                                                                                ,t
2,1,MagnoliaJS,2023-10-17,2023-01-20,https://www.magnoliajs.com/                                                                                                                                                                                                                                    ,f
